Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
6,2008,,82.76,51,100.786,198.982,218.815,215.553,10.622,137.708,4.7,5.6,7619,3070,25324,153300,2391.9,853.7,1778.6,3.9,4.6,5965,7742.7,8798.6,10622,15375.7,$3707.99,$7042.02,1018.3,331.5
7,2008,,80.040000000000006,51.9,101.218,200.49799999999999,219.964,216.04499999999999,10.635999999999999,137.499,4.8,5.8,7347,4712,24599,151540,1856.2,828.6,1874.9,3.9,4.7,5960.3,7703.4,8807.4,10636.1,15342.8,$3878.40,$7402.11,954.0,321.3
8,2008,,92.78,58.5,101.13500000000001,199.15600000000001,219.08600000000001,216.476,10.638999999999999,137.233,5,6.1,6315,5585,23411,150170,2205.3000000000002,907.9,2008,3.6,4.3,5950.9,7668.4,8799.2000000000007,10639.4,15286.3,$3364.07,$5956.22,982.3,342.5
9,2008,,93.02,61.4,101.236,199.17,218.78299999999999,216.86199999999999,10.611000000000001,136.78100000000001,5.1,6.1,4859,4551,18552,143714,2330.6999999999998,778,1687.5,3.6,4,5930.1,7636.1,8776.7999999999993,10610.5,15252.5,$2809.50,$4551.51,1054.7,248.6
10,2008,,76.98,38.799999999999997,100.684,197.47200000000001,216.57300000000001,217.023,10.621,136.30799999999999,5.3,6.5,5038,3077,17476,141171,1626.9,747.4,1746.3,2.9,3.5,5910,7581.1,8754.1,10621.4,15146.3,$2226.67,$4181.09,852.3,377.9
11,2008,,64.959999999999994,44.7,99.545000000000002,193.76499999999999,212.42500000000001,216.69,10.61,135.53899999999999,5.6,6.8,3283,1579,13215,136182,2097.3000000000002,949.9,1989.3,2,2.8,5882.7,7533.8,8726.6,10610.2,15054.1,$1609.41,$3359.55,1018.0,343.5
12,2008,,65.900000000000006,38.6,99.007000000000005,191.95599999999999,210.22800000000001,216.1,10.58,134.84399999999999,5.8,7.3,3220,2351,16582,139508,1800.3,985.8,1875.9,1.6,2.4,5851.3,7486.7,8699.2000000000007,10579.8,14970.4,$1107.32,$3615.25,963.2,283.5
1,2009,,64.400000000000006,37.4,99.067999999999998,192.68100000000001,211.143,216.71899999999999,10.523999999999999,134.053,6.1,7.8,3769,2784,11121,130899,1435.5,867.8,1937.3,1.6,2.2,5801.6,7417.2,8659,10524.3,14854.7,$1081.41,$3339.76,1023.2,294.7
2,2009,,50.7,25.3,99.284000000000006,193.791,212.19300000000001,217.685,10.465999999999999,133.35,6.3,8.300000000000001,4207,1883,13847,137160,1415,854.7,1756.3,1.8,2.1,5765.2,7360.4,8631.4,10465.5,14733.6,$898.88,$2273.82,965.3,291.5
3,2009,,46.4,26.9,99.192999999999998,194.23400000000001,212.709,218.63900000000001,10.4,132.52699999999999,6.5,8.699999999999999,5189,1573,17345,138529,997,777.9,1589.1,1.8,2.1,5723.9,7311.8,8594.7000000000007,10400.4,14639.1,$1269.21,$2265.11,916.6,281.8
4,2009,,71,40.799999999999997,99.34,195.12,213.24,219.143,10.327999999999999,131.84100000000001,6.7,9,5378,2095,17733,141757,1432.7,788.3,1660.8,2,2.2,5674.8,7265.3,8524.4,10328.4,14539.6,$1357.13,$2138.89,1019.0,305.7
5,2009,,73.5,54.8,99.474000000000004,194.78,213.85599999999999,219.12799999999999,10.311999999999999,131.49,7.6,9.4,5498,1253,19790,148018,1948.4,889.7,1778.6,2.2,2.2,5665.6,7244.9,8532.5,10312.200000000001,14493.4,$1620.74,$2157.24,989.9,289.8
6,2009,,75.099999999999994,49.3,100.06699999999999,196.67400000000001,215.69300000000001,219.28299999999999,10.284000000000001,131.02000000000001,8.1,9.5,6680,1399,22693,153692,1703.8,811.2,1579.4,2.5,2.5,5641.2,7221.1,8516.2000000000007,10283.9,14428.7,$1877.98,$2272.97,1026.3,291.9
7,2009,,71,47.4,100.02,196.34200000000001,215.351,219.35,10.253,130.691,8.300000000000001,9.5,6930,541,23335,151931,1811,757.9,1657.9,2.4,2.5,5623.6,7193.8,8547.7000000000007,10252.700000000001,14321.9,$1773.91,$2353.45,1013.6,293.2
